c1c(cccc1)O/C(=C/C=C/OC)/C	N#CSCCOc1ccc(Oc2ccccc2)cc1	COc1cc(ccc1O)c1ccc(O)c(O)c1
C(=C\CC(=O)C1CCN(CC1)C(=O)[C@H](NCc1cccc(c1)C(=N)N)c1ccccc1)\C	NC(=N)c1cccc(c1)C(=O)N[C@@H](C(=O)N1CCC(CC1)C(=O)c1ccccc1)c1ccccc1	NC(=N)c1ccc(C[C@@H](NC(=O)CCN2Cc3ccccc3)c(C)c(CN)c2c2ccccc12
CN[C@@H](C)CC/C=C\C(=C)S(=O)NCCSC	FC[C@H]1Cc2ccc(cc2CN1)S(=O)(=O)N1CCSCC1	CC[C@H]1CNC[C@H](C1)C(=O)NCCCCccCCcCCcCcccccccc
NC(=O)Cn1cc(nc1CNC(C)C)c1ccc(cc1)Cl	NC(=O)c1ncc(N[C@H]2CCCNC2)c2nc(cn12)c1ccc(Cl)cc1	CC(C)(C)C(CCCCCCCCCcCccccccccccccccccccccccccc))c)
OCc1ccnc(c1)N(COCc1ccc(cc1C)Cl)N=C	Cc1cc(Cl)ccc1COc1ccnn1c1cc(ccn1)C(=O)O	COC(=O)c1ccccc1C(=O)Nc1cnc(C(=O)N)c(N)n1
C(=C\C=C/CCNC(P)/C=C/C=C)\C	OP(=O)(O)C(NCc1ccccc1)c1ccccc1	OP(=O)(O)C(NCc1ccccc1)c1ccccc1
C(=N)(NCCCN(C(=O)NCC)C)c1cc(Cl)ccc1Nc1ccc(F)cc1	CCN1c2ccc(F)cc2N=C(N[C@H]2CCN(C2)C(=O)NC(C)(C)C)c2cc(Cl)ccc12	CC(NC(=O)CCc1c(NC(=O)c2ccc(cc2C)ccc)C)CCcccccccccccccccccccccccc
C1[C@](O)(C)CCCN1CC/C=C\C=C/C	OC[C@H]1C[C@@H]2[C@H](O)[C@@H](O)[C@@]1(O)CN2Cc1ccccc1	OC(=O)[C@H]1CC[C@H]2[C@H](CO)C(=O)c3ccccc312
C(=C)/C(=C\CCc1c(c2c(C)c(ccc2n1c1ccccc1)O)CN(CCN)CC)/F	Cc1c(F)cccc1Cc1c(C(=O)N2CCNCC2)c2c(C)c(O)ccc2n1c1ccccc1	CN1CCN(CC1)C(=O)c1ccc(ccccccccccccccccccccccccccccccccccccccccc
OC(P(=O)(O)O)(PO)C/C(=C/N(=C)C)/C=C	C[n+]1cccc(CC(O)(P(=O)(O)O)P(=O)(O)O)c1	OC(Cc1cccc(c1c1cccc(c1cccccccc)))O)OO()OOOO)O
C(Oc1cc(ccc1)C(=O)NNC(=O)NNC[C@H](CC(C)C)NC(=O)OCC(=C)C)c1ccccc1	CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NNC(=O)NNC(=O)c1cccc(OCc2ccccc2)c1	CC(C)C[C@H](NC(=O)CCc1nc2ccccc2c(=O)[nH]1)c1ccc(OCCN2CCCC2)cc1
C(=C)(F)/C=C(/S(=O)(=O)c1ccc(cc1)CNC(=O)/C=C/N/C=C\N=C)\C	Fc1cc(F)cc(c1)S(=O)(=O)c1ccc(CNC(=O)c2ccc3nccn3c2)cc1	Fc1cc(F)cc(c1)S(=O)(=O)c1ccc(NC(=O)c2ccc(n2)c2ccccc1F
n1ncsc1NC(=O)N[C@@H](Cc1ccccc1)C(=O)N	CNC(=O)[C@H](Cc1ccccc1)NC(=O)Nc1nnc(S)s1	NC(=O)[C@H]1CNC[C@H](CNc2nccc(n2)c2cccc(c2)(F)F)1
C(=C\C=C\C=C\1/c2c(C(=C1C)C)cc(cc2)F)(\C)/S=O	CC1=C(CC(=O)O)c2cc(F)ccc2/C/1=C\c1ccc(cc1)S(=O)C	NS(=O)(=O)c1ccc(cc1)c1ccc(c(c1)c1cccc(c1)C(F)(F)F
N1(CCN(CC1)C)c1ccc(cc1)CN(CC(C)C)S(=O)(=O)C/C(=C/C)/C=C	CC(C)CN(Cc1ccc(cc1)N1CCN(CC1)C(=O)C)S(=O)(=O)Cc1ccccc1	CC(C)CCCCCCCCCCCCCCCCCCcCccccCCcCcCcCcCccccccccccccccccccccccccccc
NC(Cc1ccccc1)CC(=O)N1CC/C(=C\C=C)/C[C@H]1C=O	N[C@@H](CC(=O)N1Cc2ccccc2C[C@H]1C(=O)N)Cc1ccccc1F	O=C(N[C@H]1C[C@@H]1c1ccccc1)N1CCC(CC1)Oc1ccccc1
C(=N\CO)(/NCNS(=O)(=O)C/C(=C\C)/Cl)\N=C\C	COc1nc(C)nc(NC(=O)NS(=O)(=O)c2ccccc2Cl)n1	COc1ccc(ccccccccccccccccccccc)c))c))
C(=C(\C=C\C=C(\S)/C=C/S(=O)O)/S(=O)(=O)O)\C	[O-]S(=O)(=O)c1ccc2c(cc(cc2c1)S(=O)(=O)[O-])S(=O)(=O)[O-]	OS(=O)(=O)c1ccc(cc1)c1ccc(cc(C)c)c)c)c)
CC(C)(C)c1ccc(S(=O)N(CCN(C)c2ccc(cc2)N=O)C)cc1	C[C@@H]1CN(CCN1S(=O)(=O)c1ccc(cc1)C(C)(C)C)c1ccc(cc1)[N+](=O)[O-]	CC(C)CC(CCcCcCc(Ccc(ccc(ccc(ccc(ccc(cccccccccccccccccccccccccccccc
C/C=C\C=C\OC(=O)c1cccc(/C=C/c2cc(C)c(O)cc2)c1	Cc1cc(/C=C/c2cccc(c2)C(=O)Oc2ccc(F)cc2)cc(C)c1O	Cc1c(Cc2ccc3oc(c4C(=O)C(C4)c4c3)c2cc1O)cc(O)cc(O)c1
N#CC(=C)/C(=C\CNCCCOc1ccc(Cl)cc1)/C(F)(F)F	C[C@](O)(COc1ccc(Cl)c(F)c1)C(=O)Nc1ccc(C#N)c(c1)C(F)(F)F	CC(=O)CCCCCCCcCcccccccccccccccccccccccccccccc)c))
NC(=N)C(=C)N/C=C/CN(C)CC(CSc1ccc(cc1)Cl)C	Nc1ncnc2c(CN3CC(O)C(CSc4ccc(Cl)cc4)C3)c[nH]c12	Cc1nc(Cc2ncccCccccccccccccccccccccccccccccccccccccccccc
C(=C)/C=C(/C(=O)NC(=O)NC1C[C@@H](O)CCO1)\N=C	OC[C@H]1O[C@@H](NC(=O)NC(=O)c2ccccn2)[C@H](O)[C@@H](O)[C@@H]1O	Nc1ncnc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O)n1ccnc1
CO/C(=C/c1nc(n(c1C)c1ccnc(nc(N)ccc1)N)CS)/COC	COc1cc2nc(c3nccs3)n(c3ccc4c(N)nc(N)nc4c3)c2cc1OC	COc1cc(Nc2ncccccccccccccccccccccccccccccccccccccccc)c)
OC1[C@H]([C@H](NC(=O)NC(=O)C=C)O[C@H](CO)[C@H]1O)O	OC[C@H]1O[C@@H](NC(=O)NC(=O)c2ccc(Cl)cc2)[C@H](O)[C@@H](O)[C@@H]1O	OC[C@H]1O[C@@H](NC(=O)C(=O)NC(=O)c2ccccc2)[C@H](O)[C@@H](O)[C@@H]1O
CCN(CCNS(=O)C[C@H](CCC/C=N/C=C\C)NC=O)c1ncc(cc1)Br	ON(C=O)[C@@H](CCCc1ncccn1)CS(=O)(=O)N1CCN(CC1)c1ccc(Br)cn1	CNC(=O)[C@@H]1CNC[C@H](CNC(=O)Cn1c2C[C@H](CC(=O)O)cc2c(=O)[nH]1
Cl/C(=C/C)/C=C(\C)/C=C/C(=O)NC/C=C\CC(O)C	OCC(O)c1ccc(NC(=O)c2cc3cc(Cl)ccc3[nH]2)cc1	OC(=O)C1CCcc((ccccccccccccccccccccccccc
C(C)(C)CNc1c(nc[nH]1)C(=O)N	CC(C)Cn1c2[nH]cnc2c(=O)n(C)c1=O	CC(C)Cn1c(NC(=O)c2ccccccccc)c))
OP(=O)C(P(=O)(O)O)(O)CNC=C	OC(Cn1ccnc1)(P(=O)(O)O)P(=O)(O)O	OC(Cc1cccc(c1c(I)ccOc(O)OO()OOOO)OOOOOOOOOOO
C(=C)/C=C(\N=C)/C(=N)C(=C)C/C=C/C=C\C=C\N	c1[nH]nc(c1c1ccnc2ccccc12)c1ccccn1	Nc1nc2cccc(c3cccc(c3)C(=O)Nc2cc1OC)C
Nc1c2ncn(c2ncn1)c1ccc(cc1)NC(=O)N/C(=C/C=N)/NC(=C)/C=C\C(=C)C	Cc1ccc(cc1)n1nc(cc1NC(=O)Nc1ccc(cc1)n1cnc2c(N)ncnc12)C(C)(C)C	Cc1ccccccccccccccccccccccccccccccccccccccccccccccccccccccc
FC(S(=N)c1ccc(cc1)N(C)[C@@H](C)CNS(=O)(=O)c1ccc(nc1)N)(F)F	CC#C[C@H]1CN(CCN1c1ccc(cc1)S(=N)(=O)C(F)(F)F)S(=O)(=O)c1ccc(N)nc1	CC(NC(=O)c1ccc(cccccccc)())(c(c)())(c(c)c)(c)c)c)c)c)c)c)c)c)c)c)c)c)c
C(=C\CCC[C@H]([C@H](O)[C@H](O)CO)O)(/Cl)\C=C(/C)\O	OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1cc(O)cc(Cl)c1O	OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1cc(O)c(I)cc1O
C(C(C(=O)O)NC(=O)N[C@H](C(=O)O)CC(=C)O)CCCNC(=O)c1ccc(I)cc1	OC(=O)[C@H](CCCCNC(=O)c1ccc(I)cc1)NC(=O)N[C@@H](Cc1ccco1)C(=O)O	OC(=O)[C@H](CCCCNC(=O)c1ccc(I)cc1)NC(=O)N[C@@H](CC(C)C)C(=O)OC(C)C
C(=C\C=C(/C)\OCC(=C)CCNC(=O)C(C)CCNS(=O)(=O)c1ccc(cc1)C)\C	Cc1ccc(cc1)S(=O)(=O)N[C@H]1CNC[C@H](C1)C(=O)NCC1c2ccccc2Oc2ccccc12	CC(C)CCc1c(CC(cc(CccCcccCccccccc)cCcccccccccccccccccccccccccccccccccc
[C@@H](NC(=N)NC(=O)Cc1cc(O)c(cc1)OC)(C/C(=C/C=C)/C)C(=O)NCc1ccc(O)cc1	COc1ccc(CNC(=O)[C@@H](Cc2ccccc2)NC(=N)NC(=O)Cc2ccc(OC)c(OC)c2)cc1OC	COc1ccc(cccccccccCcccccccccccccccccccccccccccccccccccccccccc))))O))O))
C(=C)(O)/C=C\C(=C)C(=O)C(=C)C(=C)/C=C(/O)\CO	Oc1ccc2c(c1)occ(c1ccc(O)c(O)c1)c2=O	Oc1ccc(cc1ccccccccccccccccccc))OOc)OO
n1c(NC(=O)NSC/C(=C\C=C/C)/Cl)ncnc1OC	COc1nc(C)nc(NC(=O)NS(=O)(=O)c2ccccc2Cl)n1	COC(=O)c1ccccc1C(=O)Nc1nn(CC1C(F)(F)F)cc1
C(NC1CCN(CC1)C(=O)CC)NC/C=C\C(=C)OC(F)(F)F	CCC(=O)N1CCC(CC1)NC(=O)Nc1ccc(OC(F)(F)F)cc1	FC(F)(F)c1ccc(CC(NC((CCCCCCCCCCCCCCCCCC)C1cC)cc)C)c
N(O)c1cccc(c1O/C=C/C=C(/S(=O)(=O)NCCN(C)C)\C)Cl	CCN(CC)CCNS(=O)(=O)c1ccc(Oc2c(Cl)cccc2[N+](=O)[O-])cc1	CN1C(=O)c(NC(=O)CCccCCcCCcC(cc(Ccc()cc()ccccccccccccccccccc)c)
C(=O)NC(/C=C/C=C\C=C)/C=C(/C=C/C=C\C)\CC	CC(=O)N1CCc2c([nH]c3ccc(C)cc23)C1c1cccc(O)c1	OC(=O)C(=O)C(=O)Nc1ccccccccccccccccccccccc
O(C(C1CC1)C)C/C=C(/CC(=C)/C(=N\CN)/N)\C=C(/COC)\OC	COc1cc(Cc2cnc(N)nc2N)c2C=CC(Oc2c1OC)C1CC1	COc1cc(ccc1OC)c1cnc(NC2CCOCC2)ncc1C#N
F/C=C(\F)/C=C(\C=C)/N(C)/C=C/N=C(\C)/N=C(N)N	CN(c1cnc2nc(N)nc(N)c2c1)c1cc(F)c(F)c(F)c1	Cc1nc(nc(Nccc(n1ccccccccccccccccccccccc
c1(Oc2ccc(cc2)N)ccc(cc1)N/C=C/C	NCC(=O)Nc1ccc(Oc2ccc3[nH]cc(C#N)c3c2)cc1	NC(=O)c1ccccccccccccccccccccccccccccccc
C(N(Cc1ccccc1)C)CC(C)NC/N=C(/N1CCCN(CC1)C)\N=C/C/C=C(/OC)\C	COc1cc2nc(nc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC)N1CCCN(C)CC1	COc1cc2nc(c3nCc3c(=O)n(C)c3nc(N)nc(N)c3ccCCCC(C(=O)O)c2)cc1
C(S(=O)N)/C=C\CCNC/C=C/C=C(\C(=C)F)/F	NS(=O)(=O)c1ccc(cc1)C(=O)NCc1ccc(F)c(F)c1F	NS(=O)(=O)c1ccc(cc1)C(=O)NCc1c(F)cccc1F
CC(C)CCNC(=O)C(CN)CCN(C(C)C)CCNc1ccccc1Cl	CC(C)CCNC(=O)[C@@H]1CNC[C@@H](C1)N1CC(=O)N(CC1(C)C)c1ccccc1Cl	CC(C)CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCccccccccccccc
C(=C)C(=O)NC1[C@H]2[C@]34C=C(/C(=C\C=C/CC(N(C)CC4)[C@]3(O)CC1)/O)O2	CN1CC[C@@]23[C@H]4Oc5c2c(C[C@@H]1[C@]3(O)CCC4NC(=O)/C=C\C(=O)O)ccc5O	COC1CCC(CC[C@C(CC(CCCCCC@CCCC@C(CCC@CCCC@CCCC@C(OCCCCCcCc)cccCOOOCc)c)
c1(cc(Nc2nccc(n2)c2c(C)nc(NC)s2)ccc1)S(=O)(=O)N	CNc1nc(C)c(s1)c1nc(Nc2cccc(c2)S(=O)(=O)N)ncc1C#N	CNc1nc(C)c(s1)c1nc(Nc2cccc(c2)S(=O)(=O)c2ccccn2)cc1)C(=O)O
n1(C2C(C(O)C(C2)O)O)cc(nc1)CN	Nc1ncnc2n(cnc12)C1CC(O)C(O)C1O	Nc1ncnc2n(cnc12)C1COC(C)(C)O1
CO/C=C/C=C/c1ncnc(c1)NC[C@H](N)CC(=C)/C(=C\C(=C)F)/F	COc1ccc(cn1)c1cc(ncn1)N1C[C@H](N)[C@H](C1)c1cc(F)c(F)cc1F	C[C@@H]1Cc2cc3c(Nc3cc(F)(F)cccc)ccccccccccccccccccccccccccccc
CC/C=C/1\CCc2c(C1=O)cccc2O	Cc1cc(O)c2C(=O)c3c(O)cc(O)cc3C(=O)c2c1	Oc1ccc(cc1)c1ccccccccccccccccccO
C(=C\C)/c1nc([nH]c1)CCC(=C)/N=C(\C/C=C\C)/C	C(Cc1cnc2ccccc2n1)c1nc(c[nH]1)c1ccccc1	NC(=O)c1ccc2nc([nH]c2c1)c1ccc(Oc2ccccc2)cc1
CC1(CCCC(=C1/C=C/C=C\C=C\C(=C\CO)\C)C)C	C/C(=C/C=C/C(=C/C(=O)O)/C)/C=C/C1=C(C)CCCC1(C)C	C/C(=C\C=C\C(=C\C(=O)O)/C=C/C1=C(C)CCCC1(C)CCCC1(C)C
CCN(CC)/C=C/C=C(/OC(F)F)\C(=C)Nc1nccc(n1)c1n(cc(c1)C=O)C	CN1CCN(CC1)c1ccc(OC(F)(F)F)c(Nc2nccc(n2)c2cc(cn2C)C(=O)N)c1	CC(C)CCcCnccccccccccccccccccccccccccccccccccccccccccccccc))
CCN(CC)/C=N/C1=C(C(=O)N(CN1C)C)NCc1c(C)cccc1	Cn1c2nc(N3CCCC(N)C3)n(Cc3ccccc3C#N)c2c(=O)n(C)c1=O	CN1CCN(CC1)C(=O)c1ccc(ccccccccccccccccccccccccccccccc
NC/N=C(/N)\C(=C)/C(=C\CN(c1ccc(c(c1)C)C)CC/N=C\SC)/N	Cc1cc2nc(c3cscn3)n(c3ccc4c(N)nc(N)nc4c3)c2cc1C	CNc1nc(C)c(s1)c1nc(Nc2cccc(c2)N2CCN(CC2)SC2=O)c1ccccc1
C(=O)([C@@H](N)CCC(c1ccccc1)(c1cccc(c1)C)C/C=C\C)O	Cc1cccc(c1)C(CC[C@H](N)C(=O)O)(c1ccccc1)c1ccccc1	Cc1ccc(cc1)C(=O)CC(=O)c1cccccccccccccccccccccccccccccccc
C(=O)/C=C/N(N)CC(BO)NC(=O)Cc1cccs1	OB(O)[C@H](Cn1cc(nn1)C(=O)O)NC(=O)Cc1cccs1	OC(=O)Cc1c(Cccccccccccccc)()c)c)c)c)c)c))c))
C=C(/C=C\CCNCc1c(F)cccc1F)S=O	NS(=O)(=O)c1ccc(cc1)C(=O)NCc1c(F)cccc1F	NS(=O)(=O)c1ccc(cc1)C(=O)NCc1c(F)cccc1F
C=C/C(=C\C=C\C(=N)/C=C(/O)\c1cccnc1)/c1c(cccc1)OC	CCOc1ccccc1c1ccc(cc1)c1nc2ccncc2c(O)c1C#N	COc1cc(ccccccccccccccccccccccccccccccccccccccccccc
O=CCCCNCCC/C=C/C=C\C(=C)Oc1ccccc1	OC(=O)C(=O)CC(=O)NCCCc1cccc(Oc2ccccc2)c1	N[C@@H](CC(=O)O)C(=O)c1ccc(cc1)c1ccccc1cCc1cccc
C(=C(\Cl)/CC(=N)N)/C(=C/C=C/c1cccc(c1O)OC(C)C)/N	NC(=[NH2+])c1cc2cc([nH]c2cc1Cl)c1cccc(OC2CCCC2)c1[O-]	CC(C)(C)c1ccc(ccccccccccccccccccccccccccccccccccc
CN(CC(=C)/C=C\C=C)CCCCOc1ccc(C(=N)Nc2ccccc2)cc1	NC(=O)c1ccc2nc([nH]c2c1)c1ccc(OCC2CCN(Cc3ccccc3)CC2)cc1	NC(=O)c1cccc(c1)c1ccccccccccccccccccccccccccccccccccccccc
C(CCN(/C(=N/C)/C=C)CSC/C(=C\COCOC)/I)NC(C)C	CC(C)NCCCn1c(Sc2cc3OCOc3cc2I)nc2c(N)ncnc12	CCCCOc1ccc(cccccccccCcccCCcCCcCCcCCcCCc)()c)cCCCC)C
C/C=C\CCN(/C(=C/N)/O)C(=O)N	Nc1c(O)n(Cc2ccccc2)c(=O)[nH]c1=O	NC(=O)c1ccccccccccccccccccccccc
O=C(C)NC(=O)NCCCS(=O)(=O)N1CCCC1C(O)(/C(=C/C=C)/C=C)/C(=C/C)/C	OC(C1CCCN1S(=O)(=O)CCCn1ccc(=O)[nH]c1=O)(c1ccccc1)c1ccccc1	OC(=O)CC[C@@H](NC(=O)CCCccCCCCCCCCCCCCCCCcCcCcCcccccccccccccccccc
C/C(=C\C)/CC(N1CCCC(C1)CN(Cc1ccccccccc1)CC)C	COCCN(CC1CCCN(C1)C1Cc2ccccc2C1)C(=O)c1ccc2ccccc2c1	CN1CCC(CC1)C(=O)CCc1ccCccccccccccccccccccccccccccccccccccc
c1cccc(c1C(=O)OCC)S(=O)NCNC/N=C(\C=C(\Cl)/N)/O	CCOC(=O)c1ccccc1S(=O)(=O)NC(=O)Nc1nc(Cl)cc(OC)n1	COc1cc(cc(c1)c1cccccCccc(cc())()c()cc)c)c()ccc)c)c)c)c)
CNCCCCCCSC(=C)SCCNCC(CO)NS(=O)(=O)c1cnccc1	OC(=O)[C@H](CNC(=O)c1cc2cc(CCC3CCNCC3)sc2s1)NS(=O)(=O)c1cccnc1	OC(=O)CC[C@@H](NC(=O)CCCc1nc2cc3CCCc3c(=O)[nH]c(=O)[nH]2)c1=O
C(CNC(=O)C(=C)C(=C)N)CC(=O)N[C@@H](C)/C(=C/C=C)/C=C	C[C@H](NC(=O)CCc1nc2ccccc2c(=O)[nH]1)c1ccccc1	C[C@H](NC(=O)CCc1nc2ccccc2c(=O)[nH]1)c1cccc(c1)C(=O)O
COC(=O)CN(C(=O)C)CCC(=C(C)C)/C=C/C=C(\C=C\Cl)/Cl	COC(=O)CN1Cc2c(nc(C)c(CN)c2c2ccc(Cl)cc2Cl)C1=O	CC(C)c1c(C(=O)cc)ccCC)cccCC)cc()cccccccccccccc)))O))
C1Cn2ccnc2[C@@H](O)[C@H]1O	OC[C@@H]1[C@@H](O)[C@H](O)[C@H](O)c2nccn12	NC(=O)c1ccc(I)cc1)[C@@H]1C[C@H](O)[C@@H](O)[C@@H]1O
F/C=C/C=C\CC(=O)NCC/C=C\C(=C)Br	C[C@@H](NC(=O)c1cc(F)ccc1O)c1ccc(Br)cc1	OC(=O)COc1cc(Br)ccc1C(=O)NCc1ccc(Br)cc1
c1(C)ccccc1S(=O)NCN/C(=N/C(=C\CC)/C)/N	COC(=O)c1ccccc1S(=O)(=O)NC(=O)Nc1nc(C)cc(C)n1	Cc1cccc(ccccccccccccccccccccccccccccccccc
c1cccc(OC(=C)/C(=C\C)/O)c1	Oc1cc(CCl)ccc1Oc1ccc(Cl)cc1Cl	Oc1cc(O)c2c(c1)c(cccccccccccc)c
N(/C(=C/C=C(\CCF)/C#N)/C)C(=O)[C@@](CO/C=C/C=C(/Cl)\C(=C)F)(C)O	C[C@](O)(COc1ccc(Cl)c(F)c1)C(=O)Nc1ccc(C#N)c(c1)C(F)(F)F	CC(=O)CCCCCC((Ccccccccccccccccccccccccccccccccccc)c)))))))c()ccc)c))c)
C1CN(S(=O)c2c(cc(O)c(c2)NC(=O)C)O)/C(=C/C=C)/C1	COc1cc(OC)c(cc1NC(=O)C)S(=O)(=O)N1[C@H](C)Cc2ccccc12	COc1ccc(cc1)S(=O)(=O)N1CC(C)(C)C(C1)NC(=O)O
C(CCC(=O)O)NS(=O)(=O)C/C=c/1\c(=C/C)\ccc(c1)OC/C=C/C=C(/C#N)\C=C	OC(=O)CC[C@@H](NS(=O)(=O)c1ccc2ccc(OCc3ccc(cc3)C#N)cc2c1)C(=O)O	OC(=O)CC[C@@H](NS(=O)(=O)c1ccc(cc1)c1ccc(cc1)C(=O)O)c1cccc(N)c1
C/C=c/1\c(=C\C/C(=C/C)/C)\n(c2ccccc2)c(Oc2cc(F)ccc2C)c1C(=O)N1CCNCC1	Cc1ccc(F)cc1Oc1c(C(=O)N2CCNCC2)c2ccnc(Cc3ccccc3)c2n1c1ccccc1	CN1CCN(CC1)C(=O)c1cccccccccccccccccccccccccccccccccccccccccccccc
C(=CCC/C=C/CNCCNC1CCCCCCC1C)(C)C	CC(=CCC/C(=C/CNCCNC1C2CC3CC(C2)CC1C3)/C)C	CC(C)C(CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCcccccccc
CCCC1=CCN/C(=C(/C#N)\C(=N)NC/C(=C/C)/C)/N1	CCCc1cc(=O)n2nc(NCc3ccc(Cl)cc3)c(C#N)c2[nH]1	Cc1ccccccccccccccccccccccccccccccccccccc
CCCc1nc(cc(C(=C)/C=C\C(=C)C)c1CN)C	CC(C)Cc1nc(C)c(C(=O)O)c(c2ccc(C)cc2)c1CN	CC(C)Cc1ccccccccccccccccccccccccccccccccc
n1c(nc(cc1OC)Cl)NCNS(=O)(=O)c1c(C(=O)OC)cccc1	CCOC(=O)c1ccccc1S(=O)(=O)NC(=O)Nc1nc(Cl)cc(OC)n1	COc1cc(cc(c1)ccccccc(Ccc(Ccc()cc()c)c()cc)c)c)c)c)c)cO)
C=C/C=C\C(=C)COC(=O)N/C(=C/C=C\C)/C	OC(=O)[C@@H]1Cc2ccccc2N1C(=O)OCc1ccccc1	OC(=O)Cc1ccccccccccccccccccccccc
O=C(/C(=C(\CO)/C)/CC)Nc1c(F)cc(cc1F)c1cc(ccc1)OC	OC(=O)C1=C(CCC1)C(=O)Nc1c(F)cc(cc1F)c1cccc(OC(F)(F)F)c1	COc1cc(cc(c1)ccccccccccccccccccccccccccc)c))()c)c)c))c))c)
N(=C\1/C=C(/C(=C/C=C/C=C/C=C\N)/CN1)C)\NC	Cc1cc2n[nH]c(=O)n2c2cc(ccc12)c1ccc[nH]1	CN(C)c1ccccccccccccccccccccccccccccccc
C(C(C)C)N(/C(=C(\c1cc(ccc1)OCCN)/c1ccccc1)/CN)C	CC(C)Cn1c(CN)c(c2ccccc2)c2cc(OCC(=O)N)ccc2c1=O	CN(C)CC(CCcCcCcccccccccccccccccccccccccccccccccccccccccccc
C1CCCCC1N1CC(CC1=O)CN/C=C/C=C\C	O=C(Nc1ccccc1)C1CN(C2CCCCC2)C(=O)C1	O=C(Nc1ccccc1cC1ccCcCCCCCCCCCCCCCCCCCCCcc
OC[C@@H](O)[C@H]([C@@H]1OC(=C[C@H](NC(=N)N)[C@H]1NC(=O)C)C)OC	CO[C@H]([C@H](O)CO)[C@@H]1OC(=C[C@H](NC(=N)N)[C@H]1NC(=O)C)C(=O)O	COC(=O)[C@H]1O[C@@H](NC(=O)NC(=O)c2ccccn2)[C@H](O)[C@@H](O)[C@@H]1O
OC(=O)CCCNC(=O)CCCCCCc1cc2c([nH]1)nc([nH]c2=O)N	Nc1nc2[nH]c(CCCCCCC(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2c(=O)[nH]1	Nc1nc2[nH]c(CCCCCCCCCCCCCCCCCCCCCCCCCCC)CC)c()ccccO)c)c)c)cO)CCc
n1ccc(cc1)/C=C/C=C/C(=C\CN(C)C=C)/C	Cc1cc2n[nH]c(=O)n2c2cc(ccc12)c1ccncc1	CN(C)CC(=O)c1ccc2c(cnc2cc1OC)C1ccccc1
C=C/C=C/S(=O)(=O)c1ccc(cc1)CNC(=O)C1=CCN(C=C1)/C=C\C	Fc1cc(F)cc(c1)S(=O)(=O)c1ccc(CNC(=O)c2ccn3cccc3c2)cc1	O=C(NCc1ccc(cc1)S(=O)(=O)c1ccccc1)c1cccc(NS(=O)(=O)C)c1
NC/N=C\CC#CC(CC)C/C=C(/OC)\C(=C(\OC)/C)\OC	CCC(C#Cc1c(C)nc(N)nc1N)c1cc(OC)c(OC)c(OC)c1	COc1cc(cc(c1)c1ccccCcCcccCcccCC)CC)CcCcCc))
CNCCOC/C=C\C(=C/C)\C(=C(/c1ccccc1)\CC)\C/C=C\C	CC/C(=C(\c1ccc(O)cc1)/c1ccc(OCCN(C)C)cc1)/c1ccccc1	CN(CCCCCCOc1ccc2c(c1)c(cccccccccccccccccccccccc
C=C/N=C(\S)/NC/C=N/C=C\C=C\NCOC(C)(C)C	CC(C)(C)OC(=O)Nc1cccnc1C(=O)Nc1nccs1	CC(C)(C)c1cccccccccccccccccccccccccccccccc
C(CCO)C(NC(=O)c1ccc(CC/C=C/NC/N=C/N)cc1)C(=O)O	Nc1nc2[nH]cc(CCc3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)c2c(=O)[nH]1	Nc1nc2nc(cnc2c(=O)[nH]1)C(=O)NCCNC(=O)c1cccc2cnccc12
CC(C)NCC(C(=O)NC/C=C\C=C(\Br)/C)CC=O	Brc1cccc(NC(=O)C2CN(C3CCCCC3)C(=O)C2)c1	CC(=O)CNC(=O)CCCc1c(NC(=O)c2ccccc2C(=O)c1O)C(=O)
C(C)CCSCCCN(C)CC(=C)/C=N/C=N\C	CCCCSC[C@H]1CN(Cc2c[nH]c3c(N)ncnc23)C[C@@H]1O	CCCc1c(CC2(CccCCcCCCCCCCCCCCcCcCcCcc
C(CCc1oncn1)N(C)CNC1C[C@@H]1C/C=C\C=C/C	CC(C)c1noc(n1)C1CCN(CC1)C(=O)N[C@H]1C[C@@H]1c1ccccc1	C[C@@H]1CCCn2c2c(C1CC12)CCcCC[C@@H]2cnc2c()nc1cC))CCcCC
CN(CCn1c(=N)n(/c(=C/C=C)/c1=C)CCCOc1ccc(cc1)Cl)CC	O[C@@H](COc1ccc(Cl)cc1Cl)Cn1c2ccccc2n(CCN2CCCCC2)c1=N	CC(C)c1ccC(cccccccccccccccccccccccccccccccccccccccCc
