c1c(cccc1)O/C(=C/C=C/OC)/C	N#CSCCOc1ccc(Oc2ccccc2)cc1	COc1ccc2ccccc2c1c1ccc(cc1)C(=O)c
CCOCc1c(C)n(c2cccc(N(=O)O)c2)nc1	CCOC(=O)c1c(C)nn(c1C)c1cccc(c1)[N+](=O)[O-]	CCCCc1c((O)n2nc(N[c]c3ccc(Cl)cc3)c2c[(=O)[N+](=O)[O-])nc1
c1ccccc1[C@@H](OC)C(=O)N1CC=C(C1)N/N=C/NC(=O)c1ccc(cc1)NC	CO[C@@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(cc3)N3CCN(C)CC3)c2C1)c1ccccc1	CO[C@@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(cc3)N3CCOCC3)c2)1c1ccccc1
N(=C(\CCC)/C=C/CNC/C(=C/C(=C)S(=O)(=O)N1CCNCC1)/C(=C)OCC)/N	CCCc1nn(C)c2c1nc([nH]c2=O)c1cc(ccc1OCC)S(=O)(=O)N1CCN(C)CC1	CC(c)(ccccccccccccccccccccccccc))))CCCCCCCCCCCCCCCCCCCC
c1cc(C(F)F)ccc1NC/N=C\C=C(/N)\C=C\N	Cc1nc(C)c(s1)c1ccnc(Nc2ccc(cc2)C(F)(F)F)n1	Cc1nc(Nc2ccc(cccccccccccccccccccc
C(=C\CCc1c(=O)c2c(cc(cc2)Cl)oc1[C@H](N(CCC)C(=O)c1ccc(cc1)C)C(C)C)\C	CC(C)[C@@H](N(CCCN)C(=O)c1ccc(C)cc1)c1oc2cc(Cl)ccc2c(=O)c1Cc1ccccc1	CC(C)C[C@@H](N(CCCc1ccccc1)c1c(ccccccccccccccccccccccccccccccccccccCcc
c1c(N2CCCNCC2)cccc1NC/N=C/c1sc(NC)nc1C	CNc1nc(C)c(s1)c1nc(Nc2cccc(c2)N2CCCNCC2)ncc1C#N	CNc1nc(C)c(s1)c1nc(Nc2cccc(c2)N2CCCNCC2)ncc1C#N
C=C/C=C\C=C\C=C\C/C=C\C=C(/C)\CN	Cc1cc(Br)c([O-])c(c1)c1cc2cc(ccc2[nH]1)C(=[NH2+])N	Oc1ccc2ccccccccccccccccccccccccc
C(CCC)Cc1nc(c2c/c(=C/C(=C)C(=N)N)/c(=C)[nH]2)ccc1	NC(=N)c1ccc2[nH]c(cc2c1)c1cccc(n1)C1(O)CCCCC1	NCC1c)cc(c1)c1ccc2c(ccccccccccccccccccccccccccc
c1(ccccc1)CN/C(=C/1\N=CN(C1)C(C)C)/N=C(N)N	CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1	CC(C)n1nc(nc2c(ccccccccccccccccccccccccccccccc
c1(cc(c2ccc(cc2)OCc2c(onc2/C(=C(\Cl)/C)/C(=C)Cl)C(C)C)ccc1CC(=O)O)C=C	CC(C)c1onc(c1COc1ccc(cc1)c1ccc2c(cccc2c1)C(=O)O)c1c(Cl)cccc1Cl	CC(C)c1onc(c1COc1ccc(cc1)c1ccc2c(cccc2c1)C(=O)O)c1c(Cl)cccc1Cl
IC/C=C(/N=C\N=C)\NC1C[C@@H]([C@@H](CO)O1)O	Nc1ncnc2n(cc(I)c12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	Nc1ncnc2n(cc(I)c12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
NC(=C(N=O)/C(=N\CNc1ccccc1)/OCC(CCC)C)N	NC(=O)c1ccc(Nc2nc(N)c(N=O)c(OCC3CCCCC3)n2)cc1	NC(=N)N1Cc[C@@H](Cc2nccc(c2)c2ccc(cc2)C2CCCC2)c1
C1(N(C)CCC(C)c2cc(nc(c2)Nc2nccc(c2)C)NCC)COC1	FC1(F)CCN(C1)c1cc(cc(Nc2cc(ccn2)C#N)n1)C1CCN(CC1)C1COC1	Cc1ccc(Nc2nccc(n2)c2cc(ccCCCCCCCCCCCCCCCCCCCCCCCCC
C(C[C@@H](O)CC[C@@H](O)/C=C/C=C\C=C\O)O	OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1cc(O)ccc1O	COc1cc(O)c2c(c1)[C@@H](O)[C@H](O)[C@H](O)CH(O)CH()))[CC@H]O
NC(=O)C(=O)CNC(=O)c1ccc(OCc2ncccc2)c(c1Cl)C(F)(F)F	CCC(NC(=O)c1ccc(OCc2ccccn2)c(c1Cl)C(F)(F)F)C(=O)C(=O)N	CCC(NC(=O)c1ccc(OCc2ccccn2)c(c1Cl)C(F)(F)F)C(=O)C(=O)N
COc1cc(NCN(CC)CCCN/C=C/C(=C\C=C)/C)ccc1	COc1cccc(NC(=S)N(CCO)Cc2cc3cc(C)c(C)cc3[nH]c2=O)c1	COc1ccccc1CcccC(NCCCCCCCCCCcccccccccccccccccc
c1cccccc(NC(=O)C(=O)NC2OC[C@@H](O)CC2)ccc1	OC[C@H]1O[C@@H](NC(=O)C(=O)Nc2cccc3ccccc23)[C@H](O)[C@@H](O)[C@@H]1O	OC[C@H]1O[C@@H](NC(=O)C(=O)Nc2ccccc2)[C@H](O)[C@@H](O)[C@@H]1O
NC(CNC(=O)N(C/C(=C/C=C/C)/C)C=O)C(=O)O	N[C@@H](Cn1ccc(=O)n(Cc2ccc(cc2)C(=O)O)c1=O)C(=O)O	OC(=O)CNC(=O)Cn1c2C[C@@H](CCc2c2cc(Br)ccc12)C(=O)O
CC(C)Nc1c(cncn1)C/C=C/C(=C/C=C)/C	CC(C)n1nc(c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc12	CCc1)C(NCcccccccccccccccccccccccccc
NNC(=O)c1cc(F)cc(c1C)N[C@H](C/C=C\CF)CCN(C)N	Cn1ncnc1[C@@H]1[C@H](Nc2cc(F)cc3c2c1n[nH]c3=O)c1ccc(F)cc1	N[C@@H](CC(=O)N1CCn2c(C1)nnc2C(F)(F)F)Cc1cc(F)c(F)cc1F
CNC/N=C\N=C\C=C\SCNC(=O)c1ccc(cc1)F	CC(C)Nc1cc(ncn1)c1csc(n1)N(C)C(=O)c1ccc(F)cc1	CN(c1ccccc1)c1c(ccccccccc(cccccccccc)c)c)cc
Cc1ccc(cc1)OC(C)CC[C@H](C)NC(=O)NC12CC(CCC1)CCC2	OC(=O)c1ccc(O[C@H]2CC[C@@H](CC2)NC(=O)NC23CC4CC(CC(C4)C2)C3)cc1	COc1ccc(NNC(=O)[C@@H](CC2CCCCC2)NC(=O)NC23CC4CC(CC(C4)C2)C3)cc1
FC(=C)/C=C(\C=C\CN/C=C/C=C/C=C(\N)/N=C\N=C\CC)/F	CCc1nc(N)nc(N)c1c1ccc(NCc2cc(F)cc(F)c2)cc1	Cc1ccc(cc1)ccccccccccccccccccccccccccccc
C=NCn1c(nc2c1cc(cc2)C#CCCCCCC)C	Cc1nc2ccc(cc2n1c1ncnc(N)n1)C#CC1(O)CCCCC1	CCCCn1c(Cc2cc(C)ccc2ccccccccCCCCCCCCCCC
C(=C\C=C\COC(c1ccc(c(c1)Cl)O)c1ccc(O)cc1)\c1ccccc1	Oc1ccc(cc1Cl)C1(OC(=O)c2cccc3cccc1c23)c1ccc(O)c(Cl)c1	Oc1cc(Cccccccccccccccccccccccccccccccccccccccccccccccccccccc
n1c(noc1c1ccccc1)CNC/C(=C(\N=C/C)/C1=CC=CCC1=C)/C=C/C(=O)O	OC(=O)c1cc2c(nccc2n1Cc1noc(n1)c1ccccc1)c1cccc2ccccc12	OC(=O)c1ccc2cccccccccccccccccccccccccccccccccccccccccccccc
C(=C\C=C\C=C)(/C(=C(/C(=O)O)\S)/OC)\Br	OC(=O)COc1c(Br)c(sc1C(=O)O)c1ccccc1	OC(=O)COc1c(Br)c(sc1C(=O)O)c1ccccc1
N=C/C=C/C(=O)NCC1O[C@H]([C@H](O)[C@@H]1O)n1ccc(nc1=O)N	Nc1ccn([C@@H]2O[C@H](CNC(=O)c3ccncc3)[C@@H](O)[C@H]2O)c(=O)n1	Nc1cc2n(cnc2c(=O)[nH]1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
N(c1ncc2N(C)C(=O)C(C)N(c2n1)CCC)/C(=C/C(=C)F)/C=C/F	CC(C)CCN1C(C)C(=O)N(C)c2cnc(Nc3cc(F)c(O)c(F)c3)nc12	CC(C)CCN1[C@H](C)C(=O)N(C)c2cnc(Nc3cc(F)c(O)c(F)c3)nc12
C=C/C=C\CC(=O)C1CCN(CC1)C(=O)[C@@H](c1ccccc1)NCc1cc(ccc1)C	NC(=N)c1cccc(c1)C(=O)N[C@@H](C(=O)N1CCC(CC1)C(=O)c1ccccc1)c1ccccc1	Cc1ccc(cc1)C(=O)N1CCC(CC1)[C@c1(cC(CcCcccccccccccccccccccccccccccccccc
c1cccc(c1)C(=O)c1ccc(cc1)/C(=C/C)/C=C\CCNCC=C	CN(CC=C)Cc1ccc(cc1)c1ccc(cc1)C(=O)c1ccc(Br)cc1	O=C(c1ccc(cccccccccccccccccccccccccccccccccccccc
C(CC)CN/C=C\N=C(/N=C/NC(=C)/C(=C\C=C)/S)\N(CCNC)C	CSc1ccccc1Nc1nc(nc2c(NCC3CC3)ncnc12)N1CCNCC1	CN1CCN(CC1)c1ccccc1CNc1ccc(cn1)C(=O)Nc1cn(C)nc1C(=O)N
N1C2C(NC1=O)CS[C@H]2CCCCCc1nnn(c1)CCCCN1C(=O)OCC1=C	Cc1ccc2oc(=O)n(CCCCn3cc(CCCCC[C@@H]4SC[C@@H]5NC(=O)N[C@H]45)nn3)c2c1	C=C[C@@H](CCnCnCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCcCccccccccccccc1c11c
c1cc(S(=O)(=O)N([C@@H](C(=O)NO)C)CCNOC)ccc1	CONC1C[C@@H](N(C1)S(=O)(=O)c1ccc(OC)cc1)C(=O)NO	CNC(=O)NC(=NCC[C@H](NS(=O)(=O)C)c1ccc(=O)[(O)c(
c1c(c(NC(=O)/C(=C\C(=O)O)/C)c(cc1C(=C)/C=C(/OC(F)(F)F)\C=C)F)F	OC(=O)c1sccc1C(=O)Nc1c(F)cc(cc1F)c1cccc(OC(F)(F)F)c1	CC1=C(Cc2cc(F)cc(O)(C((ccccccccccccccFFFFFFFFFFFFFFFFFFF)FFFFF
c1cc(C(NC(=C)C)N/C=C/C=C)cc(O)c1O	Oc1ccc(cc1O)C1Nc2cccc3cccc(N1)c23	COc1ccccc1CNc1ccc(cn1)C(=O)N
CC(C)CN(CC(=C)/C=C\C(=C)F)Sc1cnc(cc1)NCCCN(C)S=O	CC(C)CN(Cc1ccc(F)cc1)S(=O)(=O)c1ccc(NC2CCN(CC2)S(=O)(=O)C)nc1	CC(C)(C)NC(=O)c(ccccccccc(ccccc()))))))c))c))c)c)c)cccc
C(=C)C(=C)n1c(cc(n1)C(F)F)C1CC[N@@](CC1)C1C[C@@H](C(=O)N2CSCC2)NC1	FC(F)(F)c1cc(C2CCN(CC2)[C@@H]2CN[C@@H](C2)C(=O)N2CCSC2)n(n1)c1ccccc1	FC(F)(F)c1cc(C2CCN(CC2)[C@@H]2CN[C@@H](C2)C(=O)N2CCSC2)n(n1)c1ccccc1
n1csc(c1)c1ccnc(n1)NC/C=C\CN(C)C	CN(C)c1ccc(Nc2nccc(n2)c2sc(C)nc2C)cc1Cl	CN(C)c1ccc(Nc2nccc(n2)c2sc(C)nc2C)cc1Cl
C1=N/C(=N/C=C(/C/C(=C/C(=C)OCCCCCC(=O)O)/C)\C)/CC(=N1)N	COc1ccc(OCCCCCC(=O)O)cc1Cc1cnc2nc(N)nc(N)c2c1C	COc1ccc(OCCCCC(=O)O)cc1Cc1cnc(N)nc1N
CN/C=C/C(=N\C=N)/c1ccn[nH]c(ccc1)N	CCNc1cc(nc(N)n1)c1ccc2c(N)[nH]nc2c1	Cn1cc(cn1)c1cccc(n1)c1cncccccccccccc
C/C=C\C=C\CC(C(=O)O)NC(=O)[C@@H](NPCNCOCc1ccccc1)CC(C)C	CC(C)C[C@H](NP(=O)(O)CNC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O	CC(C)C[C@H](NC(=O)OC1(CC(=O)cCccCcCCCCCCCCCCCCCCcCcccccccccccccccccccc
C(=O)([C@H](CCC)NC(=O)N[C@H](C=O)CCCCNC(=O)C/C=C\C(=C/C)\I)O	OC(=O)[C@H](CCCCNC(=O)c1ccc(I)cc1)NC(=O)N[C@@H](Cc1ccncc1)C(=O)O	OC(=O)[C@H](CCCCNC(=O)c1ccc(I)cc1)NC(=O)N[C@@H](CC=C)C(=O)O
c1ccc(cc1)CC(OC(=O)N[C@H](C=O)CC)C(C)C	CCCC[C@H](NC(=O)O[C@H](Cc1ccccc1)C(C)C)C=O	CC(C)C[C@H](NC(=O)[C@@H](O)[C@@H](N)CC(=O)O)C(=O)O
C(=N)/C=N\C=C\NC(=O)Nc1c(ccc(c1)Cl)OCCC	Clc1ccc2OCCCCCOc3cncc(NC(=O)Nc2c1)n3	Clc1ccc(OC2CCNC2)c(NC(=O)Nc2cnc(cn2)C#N)c1
OP(=O)(O)C(P(O)O)c1cc(ccc1)/C(=C/C)/C=C(/c1ccccc1)\C	OC(c1cccc(c1)c1cccc(c1)c1ccccc1)(P(=O)(O)O)P(=O)(O)O	OP(=O)(O)c1cccc2cccc(ccccccccccccc(())(()O(O(())OOO(OOOOOOOOO
c1(cccc(/C=C\C)c1)C(=O)N(C=O)C(=C)/C=C(\C=C)/Br	OCCNc1ccc2C(=O)N(C(=O)c3cccc1c23)c1cccc(Br)c1	Brc1ccccc11)(=O(=ccccccccccccccccccccccccccccccc
C(=C\C(=N/C)\N(C1CN(C(=O)CC#N)CC[C@H]1C)C)\N	C[C@@H]1CCN(C[C@@H]1N(C)c1ncnc2[nH]ccc12)C(=O)CC#N	CC(C)n1nc(Nc2c((C)n[nH]c2C)CCCCCCCCCCCCCCCCCCCCCcCc
c1c(cccc1)C(OCC1CCC(O1)N1C(=O)NCC=C1)(c1ccccc1)c1ccccc1	FC1CC(OC1COC(c1ccccc1)(c1ccccc1)c1ccccc1)n1ccc(=O)[nH]c1=O	OC11O(O1OOCcccccccccccccccccccccccccccccccccccccccccccccccc
CC(=C)/C=C/C=C/C=C/C=C(/CCCCC)\C	C/C(=C\C=C\C(=C/C(=O)O)\C)/C=C/C1=C(C)CCCC1(C)C	C/C(=C\C=C\C(=C\C(=O)O)\C)/C=C/C1=C(C)CCCC1(C)C
FC/C=C\C=C(/C)\CNC/C(=C/C)/C=C\CSN	NS(=O)(=O)c1ccc(cc1)C(=O)NCc1cc(F)c(F)c(F)c1	NS(=O)(=O)c1ccc(cc1)C(=O)NCc1ccc(F)cc1F
N(CC(=O)O)C(=O)c1ccc(N(C)Cc2cnc3c(n2)c(N)nc(n3)N)cc1	CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O	Nc1nc2nc(cnc2c(=O)c(=O)n(CCccccccccCCCCCC)CCC)C))))))))c
C(=O)(O)C/C(=C/C=C/NC/C(=C\C=C\Cl)/C(=O)N)/C	OC(=O)Cc1ccc2Nc3cc(Cl)ccc3C(=O)Nc2c1	NC(=O)c1cccccccccccccccccccccccccccccc
C(#N)C/C=C\C=C(\Oc1cc(ccc1Br)C/C(=N/N)/c1ccnnc1)/C	Fc1c(Cc2n[nH]c3nnccc23)ccc(Br)c1Oc1cc(Cl)cc(c1)C#N	c1cc(n[nH]1)c1cc(ccccccccccccccccccccccc)c))
C(CO)CC(C(=O)O)NCCCCCCCCc1[nH]c(N=C(N)N)c(C=O)c1	Nc1nc2[nH]c(CCCCCCCC(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2c(=O)[nH]1	Nc1nc2[nH]c(CCCCCCCC(=O)[C@@H]CCCC(=O)CCCCCCCCCCCOO)(=O))ccccccccccc
O(CCCCC)/C=C(\O)/C(=C)c1cc2c([nH]1)ccc(C=N)c2	NC(=[NH2+])c1ccc2[nH]c(cc2c1)c1cccc(OC2CCCC2)c1[O-]	NC(=[NH2+])c1ccc2[nH]c(cc2c1)c1cccc(OC2CCCC2)c1[O-]
C(=C\CCn1c(=O)c2c(cc(cc2)Cl)nc1[C@H](N(CCC)C(=O)c1ccc(cc1)C)C(C)C)\C	CC(C)[C@@H](N(CCCN)C(=O)c1ccc(C)cc1)c1nc2cc(Cl)ccc2c(=O)n1Cc1ccccc1	CC(C)Cn1@@H]([C@H](C)C(=O)ccccccccccccccccccccccccccccccccccccccCcCCCc
O=C(c1cccc(c1)/N=C/NC/C(=C/c1c(cccc1)OCC=O)/S)O	CN1C(=O)/C(=C/c2ccccc2OCC(=O)O)/S/C/1=N\c1cccc(c1)C(=O)O	OC(=O)COc1ccc2sc(CNc3nncc(=O)c3c(=O)c12)[N+](=O)[O-]
C=CC/C(=C/C(=O)c1ccc(O)cc1)/O	Oc1ccc(cc1)c1cc(=O)c2c(O)cc(O)cc2o1	Oc1ccc2cccccccccccccccccccccccccc
[C@@H](C)(COC/C=C\C(=C/C)\NC/N=C\N=C\N(c1c(Cl)ccc(c1)C)CC#N)O	CN(C)C[C@@H](O)COc1ccc(Nc2cc(ncn2)N(CC#N)c2cc(C)ccc2Cl)cc1	C[C@@H]1CC(ccccccccccccccccccccccccccccccccccc)c)c))ccc)cc
C(=C\C=C)\C=C\COC(=O)NCCNCc1cnc(cn1)C=O	Nc1nc2nc(cnc2c(=O)[nH]1)C(=O)NCCNC(=O)OCc1ccccc1	Nc1nc2nc(cnc2c(=O)[nH]1)C(=O)NCCNC(=O)OCc1ccccc1
S(=O)(=O)(C1NC(=O)C1)CCN(C=C)N=N	C[C@]1(Cn2ccnn2)[C@@H](N2[C@@H](CC2=O)S1(=O)=O)C(=O)O	Nc1ncnc2n(C[C@@H](O)[C@@H](O)C(=O)O)cc2c(=O)[nH]1
OP(=O)(OCCCC[C@@H](O)/C(=N/NC)/CO)O	NC(=O)c1[nH]nc([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1O	CN(ncnn1)))[[C@H](O[C@H](COOOOOOOOOO(OOOOOOOOO))@))))))))cccc
OC(=C)/C=C\C/C=C/C(=O)/C(=C\O)/C(=C\C)/O	Oc1ccc(cc1)c1oc2cc(O)cc(O)c2c(=O)c1O	Oc1cc(O)c2c(c1)oc(c1ccc(O)c(O)c1)c(O)c2=O
C(=C\C(=C\C)\C)/CC1(CC1)/C(=C/C=C(/C)\CC(CC)C)/C	C/C(=C\C(=O)O)/C=C/CC1(CC1)c1ccc2c(c1)C(C)(C)CCC2(C)C	C/C(=C/C(=O)O)/C=C/C1CC1(C)c1ccc2c(c1)C(C)(C)CCC2(C)C
Clc1cc2c(cc1)c(c([nH]2)C(=O)NO)C(C(=O)NC/C=C/C=C\C)NC(C(=O)N)CC(C)C	CC(C)CC(NC(C(=O)NCc1ccccc1)c1c([nH]c2cc(Cl)ccc12)C(=O)NO)C(=O)NO	CC(C)CC(CC(C)C)NC(=O)[C@@H]1CNCc2nc(Nc3cc(n[nH]c3c(ccccccc))C))NCN))))
c1cc(CC(=O)c2ccccc2O)ccc1O	Oc1ccc(cc1)c1coc2cc(O)cc(O)c2c1=O	Oc1ccccccccccc(ccccccccccccccccccccc
O=CCCCNC(=O)N[C@@H](CCCCN(Cc1ccc(Br)cc1)C(=O)C)CO	CC(=O)N(CCCC[C@H](NC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O)Cc1ccc(Br)cc1	CC(=O)N(CCCC[C@H](NC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O)Cc1ccc(Br)cc1
C(=C\CCl)(\CO)/COc1c(C(C)C)cc(c(c1)O)Cl	CC1(C)CC(C)(Oc2cc(O)c(Cl)cc12)c1cc(Cl)c(O)cc1O	CC1(C)CC(C)(Oc2cc(O)c(Cl)cc12)c1cc(Cl)c(O)cc1O
CC(=O)C(C(=O)Nc1ccc(cc1)/C(=C/C)/C(=C\C)/OC)C	COc1ccccc1c1ccc(NC(=O)C(C#N)C(=O)C)c(Cl)c1	COc1Oc(cc(=cccccccccccccc(()cccccccccc)c)c
c1(C(C)CNC(=O)N2CCC(CC2)CO/N=C\N)ccccc1	CC(C)c1noc(n1)C1CCN(CC1)C(=O)N[C@H]1C[C@@H]1c1ccccc1	O=C(N[C@H]1CC[C@@H]1Cc1ccccc1)N1CCC(CC1)Oc1ccccc1
ClC/C(=C\C(=C)NCNC(C)(C)/C=C/C(=C)/C=N/O)/C(=O)N	C/C(=N\O)/c1cccc(c1)C(C)(C)NC(=O)Nc1ccc(Cl)c(c1)C(=O)N	CC1(CC(Nc2ccc(cc12)C(=N)N)c1cccc(c1)C(=O)N)
C(=O)(N)/C(=C(/C=C/n1c(C)c(c(c1)C)CCCC)\F)/C(=C)NCC	Cc1cn(c2CC(C)(C)CC(=O)c12)c1cc(F)c(C(=O)N)c(N[C@H]2CCOC2)c1	Cc1cc2F)cc(c2cc2nc(N)nc(N)c2cc1C
c1c(N)c(O)cc(OC)c1S(=O)(=O)N1c2c(CC1C)cccc2	COc1cc(OC)c(cc1NC(=O)C)S(=O)(=O)N1C(C)Cc2ccccc12	COc1ccc(cc1)S(=O)(=O)N(CC(=O)NO)Cc1ccc(cc1)C(=O)N
ClC/C=C/1\CN=C(C)NS1(=O)=O	CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1	CC1=C(C#N)[C@H](NC(=O)N1c1cccc(c1)C(F)(F)F)c1ccc(cc1S(=O)(=O)C)C#N
CC1(CCC(C)(C(=C1)/C=C(/C)\CC(=C)C/C=C\C(=C)C(=O)O)C)C	Cc1cc2c(cc1C(=C)c1ccc(cc1)C(=O)O)C(C)(C)CCC2(C)C	C/C(=C\C(=O)O)/C=C/C1(CC1)c1cc(=cc(CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC
OCC1O[C@H]([C@H](O)C[C@@H]1O)/C(=C/C(=C\CCl)/O)/CO	COc1cc(Cl)c(O)c(c1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1cc(O)c(Cl)cc1O
F/C(=C/NC(O)C[C@H](O)CCO)/C	Nc1nc(=O)n(cc1F)[C@H]1C[C@H](O)[C@@H](CO)O1	OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1nc2ccccc2[nH]1
CC1CC(CC(C1)Nc1cc(ccc1)/C(=C/COCC=O)/SCCO)(C)C	CC1(C)CC(CC(C)(C)C1)Nc1cccc(c1)c1sc(C(=O)O)c(OCC(=O)O)c1Br	CCc1nc(CC(C)(C)C)c(CN)c(c2ccc(C)cc2)c1CC(=O)O
CC(N)C/C=C/C=C(/S(=O)(=O)NCCC(F)(F)F)\C	FC[C@H]1Cc2ccc(cc2CN1)S(=O)(=O)NCCC(F)(F)F	OC(c1ccc(cc1)c1ccc())(N)C(CCCCCCCCC()FFFFFFF)FF)FF)
c1(Cl)ccc(C=O)cc1c1ccc(c(c1)OCC(F)(F)F)N(C)C(=O)c1c(F)cccc1	CN(C(=O)c1c(F)cccc1Cl)c1ccc(cc1OCC(F)(F)F)c1cc(ccc1Cl)C(=O)N	CN(C(=O)c1c(F)cccc1Cl)c1ccc(cc1OCC(F)(F)F)c1cc(ccc1Cl)C(=O)N
C=C/C=C\Cc1cc(C(C)C#C/C(=C(\C)/N=C/N)/C(=N)N)cc(c1)OC	COc1cc(cc(c1)c1cc(C)cc(C)c1)C(C)C#Cc1c(C)nc(N)nc1N	CCc1nc(N)nc(N)c1C#CC(C)c1cc(OC)cc(c1)c1cccc2cnccc12
C(=C\C(=O)Nc1ccncc1)/C=C(/O)\C(=C)OCC1CC1	FC(F)Oc1ccc(cc1OCC1CC1)C(=O)Nc1c(Cl)cncc1Cl	O=C(Cc1ccc(OC[C@H]2CCCN2)cc1)c1ccc(cc1)c1ccncc1
C(#C)CC(C(=O)O)NC(=O)NCCCCCNC(=O)c1ccccc1	OC(=O)[C@H](CCCCNC(=O)c1ccc(I)cc1)NC(=O)N[C@@H](CC#C)C(=O)O	O=C(N[C@H]1C[C@@H]1c1ccccc1)N1CCC(CCCCCCCCCCC(C)C)(C)CC)C)C)O))cc
C(=C\C)\C=C\NCc1nn(cncncc1)C(C)C	CC(C)n1nc(c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc12	Cc1nc2ccccc2n1Cc1ccc2n(C)c(CNc3ccc(cc3)C(=N)N)nc2c1
c1(NC(=O)/C=C/C=C(/C)\C(=C)c2ccc(cc2)/N=C\N=C)ccccc1	Cc1ccc(cc1c1ccc2nc(N)ncc2c1)C(=O)Nc1cccc(c1)C(F)(F)F	CCc1cccccccccccccccccccccccccccccccccccccccccccccccccccc
n1(/c(=C/C=C/CN2C(=C)CN=C2C)/c(=C)nc1CNc1ccc(CN)cc1)C	Cc1nc2ccccc2n1Cc1ccc2n(C)c(CNc3ccc(cc3)C(=N)N)nc2c1	Cc1nc2ccccc2n1Cc1ccc2n(C)c(CNc3ccc(cc3)C(=N)N)nc2c1
ClC(=C)C(=C)N(CC(C)(N(CCC[C@@H](CN)C(=O)NCCC(C)C)C)C)C=O	CC(C)CCNC(=O)[C@@H]1CNC[C@H](CN2CC(=O)N(CC2(C)C)c2ccccc2Cl)C1	CC(C)CC(NC(C(=O)NCN(C)CC(CCCCCCCCCCCCCCCCCCCCCCCC)C))C)cCcccccccCCc
C=C/C=C/COC/C=C\C(=C/C)\NC	NCC(=O)Nc1ccc(OCc2ccccc2)cc1	NCC(=O)Nc1ccc(OCc2ccccc2)cc1
CN(C)CCC[C@H]([C@@H](O)N1C/C(=C/N)/N=C1C)O	CN(C)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1c(C)nc2c(N)ncnc12	CN(CCON)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12
N(=C(\N)/C/C=N\C=C\N(C)c1ccc(cc1)C(C)C)/CN	CC(C)c1ccc(cc1)N(C)c1cnc2nc(N)nc(N)c2c1	CC(C)c1ccc(cc1)N(C)c1cnc2nc(N)nc(N)c2c1
C(=C\C)\Cc1c(C(=C)/C=C(\C(=C)/N=C\C)/N)n(n(C)c1=O)C	COCc1cccc(c1)c1c(c2ccc3nccnc3c2)n(C)n(C)c1=O	Cn1c2nc(N)c(CN)c(c3ccccc3Br)c2c(=O)n(C)c1=O
CC(C)(/C=C/C[C@H](O)[C@H]([C@H](C(=O)NC)OC)O)C	CO[C@H]([C@H](O)[C@@H](O)[C@H](O)/C=C/C(C)(C)C)C(=O)NCC(=O)N	COC(=O)C(=O)N[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
FC(F)[C@](O)(/C(=C/C=C/N1CCN(CC1)S(=O)(=O)/C(=C/C=C(N)N)/C)/C=C)C	CC#C[C@H]1CN(CCN1c1ccc(cc1)[C@](O)(CO)C(F)(F)F)S(=O)(=O)c1ccc(N)nc1	CC[C@@](C)(NCCNC(C1)c1ccc(CNc2cc((cccc)())(cc)(c)())())F)()))F))))
C(=C\C)(\C=C)/C#Cc1ccc(o1)C(=O)Sc1[nH]c(CF)nn1	FC(F)(F)c1nnc(SC(=O)c2ccc(o2)C#Cc2ccccc2)[nH]1	CC(F)(F)cccc(cccccccccccccccccccccccccccccccFFcc
c1(=O)[nH]c(=O)ccn1COCCCC(C)(C)NS(=O)(=O)CC	CC(C)(CCCOCn1ccc(=O)[nH]c1=O)NS(=O)(=O)c1ccccc1	CCCCOc1cc(CC2COC=(OOOOOOO)O))))))(O)))))O)))Oc
